Unit,Property Name,Address line 1,City,State,Postal code,Meld creation date,Tenant presence required,Work category,Work location,Priority,Detailed description,Description,Meld status,Meld number,Started,Due date,Meld completion date,Meld completion notes,Meld canceled,Meld cancel reason,Meld reason not completed,Meld rating,Tags,Review Date,Tenant review,Assignee,Maintenance notes,Vendor accept date,Appointment,Meld URL,Propertyware work order,Rent Manager service issue
2A,,304 Keeneland Drive - 2A,Elizabethtown,KY,42701,01/24/2023 14:34,Yes,Appliances,Kitchen,Medium,"Hello, my dishwasher seems to be broken it won’t turn on! Also the handle got stuck and broke off as well.",Dishwasher broken,Canceled by manager,TPQZZ8AB,,,,,03/02/2023 15:32,,,,,,,Service Team,,,,https://app.propertymeld.com/1912/m/1912/meld/4762474/summary/,,
1,,314 Anderson Avenue,Louisville,KY,40218,01/24/2023 12:29,No,Cleaning,upstairs only,High,"Upstairs carpet only.

V key for access or 0987/1204",Carpet clean upstairs carpet only,Completed,TTIE3B,01/24/2023 12:53,,01/26/2023 16:01,,,,,,,,,Deluxe Carpet cleaning,,01/24/2023 12:53,01/26/2023 10:00,https://app.propertymeld.com/1912/m/1912/meld/4761334/summary/,,
1,,2705 Butler Road,Louisville,KY,40216,01/24/2023 12:09,Yes,Plumbing,Kitchen,Medium,Bathroom sink is leaking and 2 of the burners on the stove will not light.,Bathroom sink leaking and 2 burners on stove will not light,Completed,TYU4PMBB,01/30/2023 13:12,,02/06/2023 11:00,,,,,,,,,Jonathan Guyton,,,02/06/2023 11:00,https://app.propertymeld.com/1912/m/1912/meld/4761168/summary/,,
2323,,2323 Rodman,Louisville,KY,40208,01/24/2023 11:53,No,General,Unit 2323,Low,"Code violation:
-Repair the following; damaged ceilings/surfaces in both utility closets (including floor beneath the water heater in the kitchen utility closet that is water damaged and water logged), wall next to bathroom sink where damaged, baseboard and areas around baseboards in bathroom where discolored and damaged, floor next to toilet.
-Unit needs to be professionally treated for mice and infestation. Seal up any holes and entry points they may be getting in through. Check underneath all cabinets, in all closets
-Replace deck board beneath the kitchen sink (damaged and discolored)
-Bathtub is peeling (resurface/restore or replace the tub) Re-caulk the enclosure. Stained and discolored areas need repair

These are issues he gave us:
-Mice/roach issue in the unit
-Mold under kitchen sink
-Leaks under kitchen, bathroom sink and behind toilet
-Holes in both bedroom closets and hvac closet
-Heat is not working. Check that thermostat is working properly
-Vents may need to be cleaned, heat is not flowing in the bedrooms
-Floor near entry way is weak",Multiple Issues - Code Violation,Canceled by manager,TD69M7LB,01/25/2023 13:41,,,,03/03/2023 14:30,This is being taken care of during the turn. The owners have communicated with the inspector and Rick.,,,,,,Service Team,,,01/26/2023 10:00,https://app.propertymeld.com/1912/m/1912/meld/4761047/summary/,,
9,,160 West Blue Lick Road - 9,Shepherdsville,KY,40165,01/24/2023 11:23,No,Cleaning,Full Unit Sales Clean,High,"Code 0987 or 1204
This is a one bedroom apartment approximately 500 square foot. ",Full Unit Sales Clean,Completed,T7HW6EHB,01/24/2023 12:02,,01/24/2023 16:00,,,,,,,,,The Pixie Maids,,01/24/2023 12:02,01/24/2023 14:15,https://app.propertymeld.com/1912/m/1912/meld/4760770/summary/,,
117,,4319 Sanders Lane - 117,Louisville,KY,40216,01/24/2023 11:12,No,Heating/AC,unit,Medium,"heat is turning on and off resulting in high electricity bill, per tenant",heat,Completed,T0IZ78L,01/24/2023 11:57,,01/27/2023 09:54,,,,,,,,,Allstate Mechanical,,01/24/2023 11:57,,https://app.propertymeld.com/1912/m/1912/meld/4760677/summary/,,
7,,1568 Illinois Road - 7,Radcliff,KY,40160,01/24/2023 09:58,No,Other,Dumpster,Low,Please pick up couch left by dumpster,Furniture,Canceled by manager,TI2ATMP,,,,,01/24/2023 10:33,,,,,,,Not assigned,,,,https://app.propertymeld.com/1912/m/1912/meld/4759979/summary/,,
Unit 1,,927 N Lakeview Dr,Louisville,KY,40229,01/23/2023 21:41,No,Pest control,Nesting under dishwasher,Medium,"I need an exterminator asap, I seen a rat run in my living room and it's nesting under my dishwasher. Please!",Rat in house,Canceled by manager,T1V7HJY,,,,,01/24/2023 10:03,"Hello Myra, with you being in a single family home pest control is your responsibly per your lease. We use Envirosafe if you would like to call them yourself  to schedule (502) 366-9636",,,,,,Not assigned,,,,https://app.propertymeld.com/1912/m/1912/meld/4758723/summary/,,
1,,122 Oxford Place,Louisville,KY,40207,01/23/2023 17:43,No,Plumbing,Kitchen sink,Medium,"They came and removed the garbage disposal, unfortunately and replaced with regular plumbing. 

It is still leaking.",Sink leaking.,Canceled by manager,TC10I8U,,,,,02/02/2023 15:15,,,,,,,Service Team,,,,https://app.propertymeld.com/1912/m/1912/meld/4757836/summary/,,
4624- 107,,4624 Southern Parkway - 107,Louisville,KY,40214,01/23/2023 17:00,No,Plumbing,Bathroom,Medium,There is a leak at the bottom of the bathroom sink.,Leak at the bottom of the bathroom sink,Canceled by manager,TWTPEPF,,,,,02/06/2023 19:43,LREI no longer manages this property.,,,,,,Not assigned,,,,https://app.propertymeld.com/1912/m/1912/meld/4757485/summary/,,
1,,953 Ellison Avenue,Louisville,KY,40204,01/23/2023 16:08,No,Exterior,Exterior,Low,Need to repair the damaged fence from a fallen tree.,Fence,Completed,TAZNVK,01/23/2023 16:08,,01/24/2023 13:00,,,,,,Owner Approved,,,Jonathan Guyton,,,01/24/2023 13:00,https://app.propertymeld.com/1912/m/1912/meld/4757036/summary/,,
4,,3811 Carpenter Drive - 4,Louisville,KY,40229,01/23/2023 16:07,No,Cleaning,Apartment,Low,Please trash out unit (make sure nothing remains in Fridge). This is a vacant unit. Lockbox on backdoor. Code: 0987 ,Trash Out,Completed,TXCHT1M,01/24/2023 06:55,,01/25/2023 10:30,,,,,,,,,Garcias cleaning llc ,,01/24/2023 06:55,01/25/2023 10:30,https://app.propertymeld.com/1912/m/1912/meld/4757026/summary/,,
1,,439 North 38th Street,Louisville,KY,40212,01/23/2023 15:58,Yes,Other,unit,Medium,"*Back porch light does not work
*Bedroom door won't lock
*Basement floods",Multiple issues,Completed,T9T1AXHB,01/24/2023 15:19,,01/25/2023 10:30,,,,,,New Move IN,,,Mike Guelda,,,01/25/2023 10:30,https://app.propertymeld.com/1912/m/1912/meld/4756931/summary/,,
1,,129 East Wampum Avenue,Louisville,KY,40214,01/23/2023 15:57,No,Heating/AC,HVAC,High,HVAC is a package unit. The furnace is not turning on. Thermostat has power. This is a vacant unit. Lockbox on front door. Code: 0987. ,Furnace Not Turning On,Completed,TFWLIICB,01/23/2023 15:58,,01/27/2023 08:13,,,,,,,,,Allstate Mechanical,,01/23/2023 15:58,,https://app.propertymeld.com/1912/m/1912/meld/4756916/summary/,,
4,,1431 Nightingale Road - 4,Louisville,KY,40213,01/23/2023 15:12,No,Other,outside,High,The tree behind the apartment is already leaning. It needs to be checked as it has the possibility of falling.,Tree,Canceled by manager,TR3PZGU,,01/30/2023,,,01/26/2023 10:52,This is a duplicate work order. We have one open for this issue already. Thank you.,,,,,,Service Team,,,,https://app.propertymeld.com/1912/m/1912/meld/4756518/summary/,,
3,,184 Cannon Court - 3,Louisville,KY,40229,01/23/2023 15:01,No,Heating/AC,unit 3,Low,"Heat is out
Thermostat is not working

Lock box 7890",Heat,Completed,TG7Y8D,01/23/2023 15:01,,01/27/2023 09:09,,,,,,Vacant,,,Allstate Mechanical,,01/23/2023 15:01,,https://app.propertymeld.com/1912/m/1912/meld/4756410/summary/,,
7B,,402 North Hite Avenue,Louisville,KY,40206,01/23/2023 14:29,No,General,Apartment,Low,Section 8 Inspection 1/24 @10:30,Section 8  (clone) (clone),Completed,TZRKAR2,01/23/2023 14:53,,01/24/2023 12:00,,,,,,"Vacant,Section 8",,,Albert Hardesty,,,01/24/2023 10:00,https://app.propertymeld.com/1912/m/1912/meld/4756024/summary/,,
103,,4522 Winnrose Way 103,Louisville,KY,40211,01/23/2023 14:24,Yes,Locks,unit,Medium,Lost apartment and mailbox key. Wanted to check if this will be covered by LREI.,keys,Canceled by manager,TQRXK2MB,06/22/2023 16:26,,,,06/23/2023 13:55,Mike confirmed that everything is good. No need for keys to the mailbox or apartment.,,,"Defer,Multi-West End",,,Mike Guelda,,,06/23/2023 14:00,https://app.propertymeld.com/1912/m/1912/meld/4755960/summary/,,
4,,1568 Illinois Road - 4,Radcliff,KY,40160,01/23/2023 14:18,No,Other,APARTMENT,Low,There is no telephone jack to plug-in a WIFI box.,Phone Jack,Completed,T4UQ9CX,03/30/2023 16:24,,03/31/2023 13:14,Mariah (resident) had it taken care of by the time I was able to speak with her by phone.,,,,,,,,GNCS LLC,,03/30/2023 16:24,,https://app.propertymeld.com/1912/m/1912/meld/4755902/summary/,,
2,,2211 Gerald Court - 2,Louisville,KY,40218,01/23/2023 13:46,Yes,Pest control,vents,Medium,roaches coming out of the vents.,Roaches,Canceled by manager,TJR0UA6,01/23/2023 14:26,,,,06/07/2023 14:26,,,,,,,Not assigned,,,,https://app.propertymeld.com/1912/m/1912/meld/4755589/summary/,,
5B,,402 North Hite Avenue,Louisville,KY,40206,01/23/2023 13:31,No,Appliances,laundry room,Medium,The laundry room key not working. ,Laundry room key,Canceled by manager,TJYN5WMB,,,,,01/27/2023 15:35,A property manager is going to bring him a new key fob. He is aware.,,,,,,Service Team,,,,https://app.propertymeld.com/1912/m/1912/meld/4755433/summary/,,
12,,621 Westport Road,Elizabethtown,KY,42701,01/23/2023 12:21,No,Windows,masters bedroom,Medium,"She said her window located in the master bedroom is broken. She  needs us to replace the broken windows
The front door is not locking and it is very hard to lock. She is requesting to replace it with a new lock. ",Windows & Lock on door. ,Canceled by manager,T4H51WM,,,,,02/21/2023 20:12,,,,,,,Service Team,,,,https://app.propertymeld.com/1912/m/1912/meld/4754738/summary/,,
1,,6604 Estele Ave,Louisville,KY,40214,01/23/2023 12:09,Yes,Exterior,Hand railing,Medium,"HNd rail loose, pulling away from pillar",Hand rail,Canceled by manager,T7JEXCJB,,,,,01/23/2023 12:52,"Hello, I am combining this with your work order titled ""Door does not latch or lock"" so everything is in one spot",,,,,,Not assigned,,,,https://app.propertymeld.com/1912/m/1912/meld/4754598/summary/,,
1,,6604 Estele Ave,Louisville,KY,40214,01/23/2023 12:06,Yes,Other,Outside access to crawl space,Medium,Animals getting into crawl space because grate gone.,"Access to ""attic"" crawl space unsecured.",Canceled by manager,T7KC2AX,,,,,01/23/2023 12:52,"Hello, I am combining this with your work order titled ""Door does not latch or lock"" so everything is in one spot",,,,,,Not assigned,,,,https://app.propertymeld.com/1912/m/1912/meld/4754567/summary/,,
12,,621 Westport Road,Elizabethtown,KY,42701,01/23/2023 12:02,No,Windows,window,Low,Windows replaced and screens.,Windows,Canceled by manager,TXXUFBHB,,,,,01/23/2023 15:02,duplicate work order,,,,,,Service Team,,,,https://app.propertymeld.com/1912/m/1912/meld/4754529/summary/,,
1,,6604 Estele Ave,Louisville,KY,40214,01/23/2023 12:01,Yes,Windows,Front window screen,Medium,Screen on front window busted out,Window screen,Canceled by manager,TZ2ZTVHB,,,,,01/23/2023 12:53,"Hello, I am combining this with your work order titled ""Door does not latch or lock"" so everything is in one spot",,,,,,Not assigned,,,,https://app.propertymeld.com/1912/m/1912/meld/4754512/summary/,,
1,,652 South 38th Street,Louisville,KY,40211,01/23/2023 11:59,No,Cleaning,Full Unit Sales Clean,High,"Access: V Key
Please perform full unit sales clean.",Full Unit Sales Clean,Canceled by manager,TMJ5DAFB,01/24/2023 06:54,01/25/2023,,,01/24/2023 11:26,,,,,,,Not assigned,,,01/27/2023 12:30,https://app.propertymeld.com/1912/m/1912/meld/4754496/summary/,,
3,,4903 Saddlebrook Lane - 3,Louisville,KY,40216,01/23/2023 11:59,No,Pest control,"Kitchen, Living room/hall",Medium,Saw a mouse come out of the dishwasher and then saw it(or another) go into the furnace closet.,Have seen mice,Completed,TDF11Z4,01/23/2023 12:59,,01/25/2023 14:00,,,,,2,,01/26/2023 10:19,Did not do anything in the bedrooms but left supplies for job to be done.  I can understand not doing closets cuz things need to be moved but I don't understand not doing bedrooms if they are finding holes.  Not sure they left enough supplies to finish job either.  Maybe I am just overly sensitive because it's rodents.,EnviroSafe Termite & Pest Control,,01/23/2023 12:59,01/25/2023 14:00,https://app.propertymeld.com/1912/m/1912/meld/4754491/summary/,,
1,,6604 Estele Ave,Louisville,KY,40214,01/23/2023 11:58,Yes,Doors,Front outside door,Medium,"Front outside door do not latch close an lick does not work.
Hand rail is loose, pulling away from pilar
Animals getting into crawl space because grate gone
Screen on front window busted out 
",Door does not latch or lock,Completed,TMC3J9E,01/24/2023 15:51,,01/25/2023 12:00,,,,,1,,01/27/2023 20:56,See previous review,Jonathan Guyton,,,01/25/2023 12:00,https://app.propertymeld.com/1912/m/1912/meld/4754480/summary/,,
1B,,306 Keeneland Drive - 1B,Elizabethtown,KY,42701,01/23/2023 11:43,No,Electrical,master bedroom and patio ,Medium,"Prospect was viewing the property and noticed that the patio and master bedroom lights don't work when she turned the switch on. 

Rekey all doors to LREI NOT V key",light patio and master bedroom doesn't work,Completed,T6LQ9VQ,01/24/2023 12:49,,01/24/2023 19:00,,,,,,Vacant,,,Albert Hardesty,,,01/24/2023 15:00,https://app.propertymeld.com/1912/m/1912/meld/4754337/summary/,,
2327,,2327 Rodman,Louisville,KY,40208,01/23/2023 11:22,Yes,General,Bathroom/Front door,Low,"Toilet runs constantly and sometimes leaks underneath
Front door has a crack on the side letting cold air and it is not closing all the way",Toilet and Door,Completed,TKQIBXK,01/23/2023 16:00,,01/24/2023 11:00,,,,,,,,,Jonathan Guyton,,,01/24/2023 11:00,https://app.propertymeld.com/1912/m/1912/meld/4754084/summary/,,
2,,221 Pope Street,Louisville,KY,40206,01/23/2023 10:21,No,Appliances,Laundry room,Medium,"Install new appliance
The plug in the kitchen is not working.
",Washing Machine (clone),Completed,T53MFAFB,01/23/2023 10:24,,01/24/2023 08:00,,,,,,Owner Approved,,,Jonathan Guyton,,,01/24/2023 08:00,https://app.propertymeld.com/1912/m/1912/meld/4753486/summary/,,
5,,4728 Southern Parkway - 5,Louisville,KY,40214,01/23/2023 09:59,No,Pest control,Living room ,High,"Tenant has reports of bed bugs, family was cleaning and taking steps to prepare for pest control to come take care of the treatment. ",Pest control needed ,Completed,TGL4VD2,01/23/2023 10:00,,01/26/2023 14:00,,,,,,,,,EnviroSafe Termite & Pest Control,,01/23/2023 10:00,01/26/2023 14:00,https://app.propertymeld.com/1912/m/1912/meld/4753265/summary/,,
130,,4524 Winnrose Way 130,Louisville,KY,40211,01/23/2023 09:38,No,Doors,locks,Low,"Would like her locks changed. Resident request for safety matter
Need Mailbox and Mailbox key. She never was able to use the mailbox",keys,Canceled by manager,TTGCD2K,,,,,01/26/2023 09:23,Tenant is changing her locks herself. She will be providing us a key. Tish spoke to her and she confirmed we can cancel,,,,,,Service Team,,,,https://app.propertymeld.com/1912/m/1912/meld/4753086/summary/,,
6,,4902 Saddlebrook Lane - 6,Louisville,KY,40216,01/23/2023 09:10,No,Cleaning,Full Unit Sales Clean,High,,Full Unit Sales Clean,Canceled by manager,TWVBBVD,01/23/2023 09:13,,,,01/25/2023 15:02,Tenant moved in,,,,,,Not assigned,,,01/23/2023 18:15,https://app.propertymeld.com/1912/m/1912/meld/4752882/summary/,,
916,,916 South Hancock Street - 916,Louisville,KY,40203,01/23/2023 09:07,No,Cleaning,Full Unit Sales Clean,High,,Full Unit Sales Clean,Completed,TZ62P0R,01/24/2023 06:51,,01/27/2023 10:15,,,,,,,,,Garcias cleaning llc ,,01/24/2023 06:51,01/27/2023 10:15,https://app.propertymeld.com/1912/m/1912/meld/4752857/summary/,,
1,,122 Oxford Place,Louisville,KY,40207,01/23/2023 08:41,No,Other,Trash can,Medium,"This is the condition of the trash can. Full of house maintenance and whatever else. Filled with water. Some ungodly smell coming from it. Too heavy to move.
I called Rumpke. I need two trash cans now that I can't get for 14 days. Apparently I need your company's permission to get a second one that I am paying for. This is so unacceptable that no move in detail was taken care of.",Trash Can is busted,Canceled by manager,TE7YBFKB,,,,,02/02/2023 15:12,,,,New Move IN,,,Service Team,,,,https://app.propertymeld.com/1912/m/1912/meld/4752706/summary/,,
1,,531 East Chestnut Street - 1,Jeffersonville,IN,47130,01/22/2023 20:27,Yes,Plumbing,Bathroom,Medium,"Sewage water is backing up into my shower, sink is making a gurgling sound and toilet is slow to flush.",Sewage backing up into shower,Completed,T51T92M,01/23/2023 14:47,,01/24/2023 08:00,,,,,,,,,Dixie Plumbing,,01/23/2023 14:47,01/24/2023 08:00,https://app.propertymeld.com/1912/m/1912/meld/4751647/summary/,,
1,,122 Oxford Place,Louisville,KY,40207,01/22/2023 19:34,No,Plumbing,Kitchen,Medium,"Kitchen 

The sink is leaking under cabinet.",Sink is leaking water underneath where the disposal is.,Canceled by manager,TWDF42GB,,,,,01/23/2023 09:38,"These details have been added to your work order titled ""Multiple Issues""",,,,,,Not assigned,,,,https://app.propertymeld.com/1912/m/1912/meld/4751551/summary/,,
4,,4901 Saddlebrook Lane - 4,Louisville,KY,40216,01/22/2023 19:33,Yes,Windows,Bedroom window,Medium,The bedroom I sleep in the window is warped and it will not stay closed I need someone to come and close it cuz it is cold in my room.,Bedroom window won't stay closed,Canceled by manager,TUR3Z8P,,,,,02/21/2023 13:51,duplicate meld,,,,,,Service Team,,,,https://app.propertymeld.com/1912/m/1912/meld/4751548/summary/,,
,,9210 Wakulla Court,Louisville,Kentucky,40299,01/22/2023 18:39,No,Plumbing,1st Bathroom,Low,Spout runs full blast when having the shower on. Also leaking from behind the knob,Diverter,Completed,TYR1XFZ,,,02/08/2023 07:24,,,,,,,,,Jonathan Guyton,,,,https://app.propertymeld.com/1912/m/1912/meld/4751451/summary/,,
24,,1002 East Main St,New Albany,IN,47150,01/22/2023 16:50,Yes,Pest control,I think just the living room.,Medium,"When I walked in my apartment today after being gone for several hours a horrible, putrid odor met me at the door. I checked the little trap near where maintenance figured mice had been getting in but it was empty. I can find any other trap unless it's somewhere I haven't looked. The smell is nauseating.",A Putrid Odor In My Apartment,Canceled by manager,TACBLDKB,,,,,02/16/2023 13:44,,,,,,,Service Team,,,,https://app.propertymeld.com/1912/m/1912/meld/4751272/summary/,,
3,,810 West Vine Street - 3,Radcliff,KY,40160,01/22/2023 14:06,No,Sewer,Kitchen,Medium,The sink is backed up and has now overflowed. Add Master key to main door ,Sink overflowing and backed up,Canceled by manager,T2IGH0BB,,,,,01/25/2023 11:58,,,,,,,Service Team,,,,https://app.propertymeld.com/1912/m/1912/meld/4750962/summary/,,
1,,333 Mechanic Street,Jeffersonville,IN,47130,01/22/2023 08:07,Yes,Plumbing,Bathroom,Medium,Cold water connection in bathroom leaking under sink,Bathroom sink leaking,Completed,TAV00TMB,01/24/2023 15:06,,01/25/2023 13:30,,,,,,,,,Albert Hardesty,,,01/25/2023 11:00,https://app.propertymeld.com/1912/m/1912/meld/4750367/summary/,,
1,,122 Oxford Place,Louisville,KY,40207,01/22/2023 06:52,Yes,Other,Master bath,Medium,They seem full of backup gunk. I took a bath last night and tons of black debris came into my water even though the jets never came on.,Jets in Master won't come on.,Canceled by manager,T8939KR,,,,,01/23/2023 09:38,,,,,,,Not assigned,,,,https://app.propertymeld.com/1912/m/1912/meld/4750340/summary/,,
1,,4721 S 1st Street,Louisville,KY,40214,01/22/2023 03:02,Yes,Other,All the above,Medium,The roof n ceiling has been licking and my toliet is clogged up down stairs bathroom,My roofs been linking and my toliet is clogged up,Completed,T6AWMA7,01/25/2023 14:09,,03/06/2023 13:30,,,,,,,,,Albert Hardesty,,,03/06/2023 09:00,https://app.propertymeld.com/1912/m/1912/meld/4750233/summary/,,
2329,,2329 Rodman,Louisville,KY,40208,01/21/2023 21:32,Yes,Plumbing,Bathroom,Medium,Plumbers came out and said that they couldn’t do anything about it because they done know where it’s coming from! This situation isn’t fixed and now is leaking again could I please have some out to fix this issue thank you.,Something in bathroom is leaking again,Canceled by manager,TTLQT4U,,,,,06/08/2023 16:21,Resident non-responsive,,,,,,Service Team,,,,https://app.propertymeld.com/1912/m/1912/meld/4750057/summary/,,
2323,,2323 Rodman,Louisville,KY,40208,01/21/2023 16:43,No,Toilet,Bathroom,High,Toilet is backed up. Water is coming out through the bathtub.,Toilet is backed up,Canceled by manager,TWJRWNGB,01/21/2023 20:57,,,,01/25/2023 12:01,Tenant confirmed this work order can be closed out. On a recorded call he said he was not having plumbing issues/back ups right now.,,,,,,Not assigned,,,01/22/2023 08:00,https://app.propertymeld.com/1912/m/1912/meld/4749664/summary/,,
2,,312 Idlewylde Drive - 2,Louisville,KY,40206,01/21/2023 15:51,Yes,Plumbing,Kitchen,Medium,Kitchen sink is leaking at the faucet,Sink is leaking,Completed,T5LBF6U,01/23/2023 10:22,,01/23/2023 19:38,,,,,5,,01/25/2023 19:48,Everything is working fine. The guys were very nice. Thank you,Demuth Properties,,01/23/2023 10:22,,https://app.propertymeld.com/1912/m/1912/meld/4749578/summary/,,
2,,312 Idlewylde Drive - 2,Louisville,KY,40206,01/21/2023 15:32,Yes,Heating/AC,Apartment,Medium,"The apartment is not getting any heat, I checked the furnace in the hallway and it is not on or working",No heat,Completed,TGVWNG4,01/24/2023 19:32,,01/24/2023 19:32,,,,,5,,01/25/2023 05:07,,Demuth Properties,,01/24/2023 19:32,,https://app.propertymeld.com/1912/m/1912/meld/4749538/summary/,,
1,,319 West Lee Street - 1,Louisville,KY,40208,01/21/2023 15:14,Yes,Doors,"Kitchen, bathroom",Medium,"My back doorknob (it’s one of the crystal ones) has stopped opening from the outside. I think that the tread is worn out, but I got locked out today because of it. The ones on my bathroom doors are also acting weird.",Doorknob broken,Completed,TVWLYNE,01/23/2023 09:44,,01/23/2023 14:00,,,,,5,,01/24/2023 18:15,,Mike Guelda,,,01/23/2023 14:00,https://app.propertymeld.com/1912/m/1912/meld/4749498/summary/,,
4,,1002 East Main St,New Albany,IN,47150,01/21/2023 14:35,No,Appliances,Kitchen,Low,"There is a leak in the dishwasher.
There is a leak in the bathroom ceiling above the hot water heater and the garbage needs to be disposed of. Also, the hallway door needs to be fixed.",Multiple Issues,Completed,T6MFCJHB,01/24/2023 14:52,,01/25/2023 11:00,,,,,,,,,Albert Hardesty,,,01/25/2023 08:00,https://app.propertymeld.com/1912/m/1912/meld/4749429/summary/,,
1,,4900 Saddlebrook Lane - 1,Louisville,KY,40216,01/21/2023 13:35,No,Heating/AC,APARTMENT,High,Heat stopped working again. Please schedule it asap. ,No heat  (clone),Completed,T5KUY3K,01/21/2023 16:48,,01/21/2023 19:32,,,,,,,,,Allstate Mechanical,Change filter and change battery in thermostat still not working,01/21/2023 16:48,,https://app.propertymeld.com/1912/m/1912/meld/4749290/summary/,,
1,,813 Laurel Drive,Jeffersonville,IN,47130,01/21/2023 11:00,Yes,Plumbing,bathrooms (shower and toilet) and kitchen sink,Medium,"High pitch sound coming from wall and shower when using hot water.
Sink hole right by and under sidewalk.",Possible water leak,Completed,TKFC4JC,01/26/2023 11:17,,02/10/2023 08:00,,,,,,,,,Mike Guelda,,,02/10/2023 08:00,https://app.propertymeld.com/1912/m/1912/meld/4748968/summary/,,
1,,122 Oxford Place,Louisville,KY,40207,01/20/2023 20:21,Yes,Other,APARTMENT,Medium,"The toilet seats in both bathrooms are ragged and horribly stained.
The mailbox isn't attached to anything. It's literally just sitting on the porch.
The kitchen sink is leaking under cabinet.
They seem full of backup gunk. I took a bath last night and tons of black debris came into my water even though the jets never came on.
Glass is hanging off the ceiling fan outdoors on the porch
Little bugs all over the place.
The washer needs fixing!
The smoke alarm is beeping in the basement.  The way it is rigged. I can't open it",Multiple Issues,Maintenance could not complete,T7CRX4M,01/23/2023 09:33,,02/24/2023 13:00,,,,,,New Move IN,,,Jonathan Guyton,,,02/24/2023 13:00,https://app.propertymeld.com/1912/m/1912/meld/4748301/summary/,,
1,,122 Oxford Place,Louisville,KY,40207,01/20/2023 20:19,Yes,Exterior,Outside,Medium,"The mailbox isn't attached to anything. 

It's literally just sitting on the porch.",Mailbox,Canceled by manager,TX3F891,,,,,01/20/2023 20:29,Duplicate meld,,,,,,Not assigned,,,,https://app.propertymeld.com/1912/m/1912/meld/4748299/summary/,,
1,,122 Oxford Place,Louisville,KY,40207,01/20/2023 20:15,Yes,Drywall,Bedroom,Medium,Drywall has slid down. There is a mess on the floor. I have pictures.,Ceiling has a leak,Canceled by manager,T0ZDIH6,,,,,01/20/2023 20:30,Duplicate meld,,,,,,Not assigned,,,,https://app.propertymeld.com/1912/m/1912/meld/4748293/summary/,,
1,,4105 Glen Hill Manor,Louisville,KY,40272,01/20/2023 18:31,Yes,Exterior,Gutters,Medium,"Gutters need to be cleaned out, they're pouring over the spout instead of draining down it. I never heard back if it was our responsibility to get a ladder somewhere and clean it out ourselves, so I'm putting in a maintenance request for it. Please do let us know if it's our responsibility and we'll take care of it, just need to know if it is.
The dishwasher keeps lurching forward when we go to pull out either top or bottom racks, and the bottom rack is then nearly dumped onto the floor with all of its contents if you don't move super fast and catch it. It appears that the anchors are not fastened or otherwise working properly",Gutter Clean Out &  Dishwasher Falling Out of Cabinet,Completed,TWBYF6T,03/29/2023 16:57,,03/30/2023 10:00,,,,,,,,,Jonathan Guyton,,,03/30/2023 10:00,https://app.propertymeld.com/1912/m/1912/meld/4747982/summary/,,
1,,4105 Glen Hill Manor,Louisville,KY,40272,01/20/2023 18:27,Yes,Appliances,Kitchen,Medium,"The dishwasher keeps lurching forward when we go to pull out either top or bottom racks, and the bottom rack is then nearly dumped onto the floor with all of its contents if you don't move super fast and catch it. It appears that the anchors are not fastened or otherwise working properly",Dishwasher Falling Out of Cabinet,Canceled by manager,TFDTF6MB,,,,,02/21/2023 13:19,duplicate meld,,,,,,Service Team,,,,https://app.propertymeld.com/1912/m/1912/meld/4747960/summary/,,
1,,126 Sanctuary Drive,Shepherdsville,KY,40165,01/20/2023 17:01,No,Locks,Front Door,Low,"Change the front door locking knob to a passage knob (Nickel Finish)

This is a brand new Build. Lindsey has the key to the property. 
Leave all locks on the key for now. PM will change key code once Justin checks with owner.

New Build so may be hard to GPS. Use the model home address for the model home if needed: 141 Mallard Lake Blvd. Shepherdsville, KY 40165.",Front Door Passage Knob,Completed,TEH2GRKB,01/23/2023 14:25,01/24/2023,01/24/2023 08:00,,,,,,,,,Mike Guelda,,,01/24/2023 08:00,https://app.propertymeld.com/1912/m/1912/meld/4747541/summary/,,
4,,4903 Saddlebrook Lane - 4,Louisville,KY,40216,01/20/2023 15:26,No,Pest control,Bedroom,Medium,Noticed mice his closet yesterday. ,Mice,Completed,TXTLHXC,01/23/2023 08:37,,01/25/2023 14:00,,,,,,,,,EnviroSafe Termite & Pest Control,,01/23/2023 08:37,01/25/2023 14:00,https://app.propertymeld.com/1912/m/1912/meld/4746893/summary/,,
1,,1431 Nightingale Road - 1,Louisville,KY,40213,01/20/2023 15:26,No,General,1431 Nightingale,Low,"A tree fell at the property.

Please document and upload pictures of any damages on both buildings
Document where the tree fell and where any remaining pieces of the tree may be
",Fallen Tree,Maintenance could not complete,THWXN5D,01/20/2023 17:51,,01/23/2023 11:00,,,,,,,,,Jonathan Guyton,,,01/23/2023 11:00,https://app.propertymeld.com/1912/m/1912/meld/4746892/summary/,,
1,,2922 South 5th Street,Louisville,KY,40208,01/20/2023 14:58,Yes,General,Master bedroom,Medium,"Dixie was able to stop the leak and we got the water extracted.

There is drywall repair needed",Busted pipes (clone) (clone) - Drywall repair,Completed,TB68NIKB,01/24/2023 15:28,,01/25/2023 08:00,,,,,,,,,Jonathan Guyton,,,01/25/2023 08:00,https://app.propertymeld.com/1912/m/1912/meld/4746709/summary/,,
